( 579,106 )
( 649,236 )
( 637,236 )
( 635,244 )
( 641,254 )
( 647,266 )
( 654,262 )
( 657,256 )
( 662,252 )
( 671,248 )
( 682,244 )
( 695,243 )
( 703,241 )
( 712,236 )
( 718,232 )
( 720,237 )
( 729,240 )
( 732,243 )
( 739,236 )
( 748,232 )
( 761,229 )
( 766,228 )
( 774,226 )
( 781,220 )
( 788,216 )
( 796,214 )
( 803,211 )
( 812,207 )
( 819,207 )
( 824,196 )
( 835,182 )
( 840,175 )
( 871,142 )
( 856,125 )
( 838,138 )
( 806,113 )
( 795,125 )
( 779,115 )
( 745,146 )
( 718,104 )
( 698,110 )
( 700,116 )
( 690,122 )
( 677,105 )
( 646,119 )
( 625,86 )
( 603,94 )
